Datum/Zeit;timestamp_text;O3 [ug/m3];NO2 [ug/m3];PM10 [ug/m3];PM2.5 [ug/m3];CPC [1/cm3];EC [ug/m3];PREC [mm];RAD [W/m2];SO2 [ug/m3];NOX [ug/m3 eq. NO2];TEMP [C]
2018-06-01T02:00:00+00:00;01.06.2018 03:00;46.3;3.1;8.9;4.8;3348.6;0.1;0.0;0.0;0.3;3.4;13.6
2018-06-01T06:00:00+00:00;01.06.2018 07:00;30.2;27.8;13.0;8.6;14595.9;0.4;0.0;234.8;3.8;39.0;14.7
2018-06-01T07:00:00+00:00;01.06.2018 08:00;35.0;30.8;14.1;9.3;16049.3;0.5;0.0;475.3;3.4;49.1;16.8
2018-06-01T14:00:00+00:00;01.06.2018 15:00;96.4;3.8;6.8;4.7;5226.0;0.1;0.0;440.5;0.3;4.7;22.1
2018-06-01T16:00:00+00:00;01.06.2018 17:00;100.7;2.7;5.5;3.8;4032.1;0.1;0.0;635.7;0.3;3.5;23.4
2018-06-01T17:00:00+00:00;01.06.2018 18:00;95.7;3.5;5.5;3.7;4360.9;0.1;0.0;323.5;0.3;4.1;22.1
2018-06-01T22:00:00+00:00;01.06.2018 23:00;65.2;4.8;5.0;4.0;5241.4;0.2;0.0;0.0;0.3;5.3;16.0
2018-06-02T02:00:00+00:00;02.06.2018 03:00;43.5;6.7;8.4;4.4;7934.3;0.2;0.0;0.0;0.5;7.3;14.3
2018-06-02T04:00:00+00:00;02.06.2018 05:00;33.9;6.1;8.7;4.6;5168.8;0.1;0.0;5.0;0.5;6.8;13.1
2018-06-02T05:00:00+00:00;02.06.2018 06:00;25.3;7.3;9.6;5.4;5970.6;0.2;0.0;66.2;0.6;8.8;13.9
2018-06-02T07:00:00+00:00;02.06.2018 08:00;30.9;14.8;9.7;5.8;22757.2;0.3;0.0;237.3;5.6;21.4;16.2
2018-06-02T09:00:00+00:00;02.06.2018 10:00;69.9;7.1;7.4;4.5;26272.5;0.2;0.0;692.7;2.1;9.5;19.9
2018-06-02T15:00:00+00:00;02.06.2018 16:00;108.8;5.6;9.5;5.4;11066.0;1.0;0.0;473.2;0.6;6.9;24.3
2018-06-03T00:00:00+00:00;03.06.2018 01:00;46.3;12.2;11.0;8.1;8688.7;0.3;0.0;0.0;0.5;13.1;15.7
2018-06-03T05:00:00+00:00;03.06.2018 06:00;24.3;11.6;13.6;9.5;5742.8;0.2;0.0;94.8;0.5;13.9;14.5
2018-06-03T11:00:00+00:00;03.06.2018 12:00;91.5;8.9;13.4;10.7;8243.4;0.3;0.0;653.2;0.9;10.8;22.4
2018-06-03T13:00:00+00:00;03.06.2018 14:00;106.6;11.2;14.2;11.3;7231.8;0.3;0.0;914.0;1.0;13.5;25.2
2018-06-03T17:00:00+00:00;03.06.2018 18:00;112.1;6.9;14.2;12.0;13510.2;0.2;0.0;220.8;0.7;7.9;25.4
2018-06-03T23:00:00+00:00;04.06.2018 00:00;89.2;9.1;13.4;9.9;7180.7;0.2;1.0;0.0;0.7;9.8;19.8
2018-06-04T02:00:00+00:00;04.06.2018 03:00;77.2;2.5;4.7;4.0;1779.4;0.1;0.0;0.0;0.3;3.0;17.2
2018-06-04T05:00:00+00:00;04.06.2018 06:00;63.0;4.3;6.7;4.3;2858.5;0.1;0.0;80.0;0.4;4.9;16.7
2018-06-04T06:00:00+00:00;04.06.2018 07:00;53.5;23.1;5.9;4.5;9817.8;0.3;0.0;219.5;0.7;28.1;18.1
2018-06-04T09:00:00+00:00;04.06.2018 10:00;80.2;15.2;11.9;7.4;11255.0;0.3;0.0;618.8;0.8;19.3;21.1
2018-06-04T10:00:00+00:00;04.06.2018 11:00;90.8;12.8;13.1;9.0;16468.8;0.3;0.0;802.2;0.9;15.9;22.4
2018-06-04T12:00:00+00:00;04.06.2018 13:00;119.7;11.7;17.1;12.6;16133.5;0.4;0.0;920.3;1.4;13.8;24.7
2018-06-04T14:00:00+00:00;04.06.2018 15:00;144.3;9.9;15.2;12.5;10226.1;0.3;0.0;641.3;0.8;11.0;25.5
2018-06-04T17:00:00+00:00;04.06.2018 18:00;144.7;12.5;16.1;12.2;11052.2;0.3;0.0;84.8;0.8;13.3;23.9
2018-06-05T04:00:00+00:00;05.06.2018 05:00;44.1;4.8;15.1;8.6;4030.2;0.1;0.0;5.8;0.3;5.4;16.0
2018-06-05T13:00:00+00:00;05.06.2018 14:00;125.0;8.1;10.4;8.0;12789.9;0.2;0.0;683.0;0.5;9.2;25.0
2018-06-05T18:00:00+00:00;05.06.2018 19:00;132.4;11.8;21.8;20.1;13993.4;0.5;0.0;190.3;0.9;13.0;25.4
2018-06-05T20:00:00+00:00;05.06.2018 21:00;104.2;12.1;11.9;10.6;6981.1;0.3;0.0;1.8;0.6;12.9;21.5
2018-06-05T21:00:00+00:00;05.06.2018 22:00;81.0;12.9;12.9;11.5;7189.9;0.3;0.0;0.0;0.6;13.5;19.8
2018-06-05T22:00:00+00:00;05.06.2018 23:00;68.8;8.9;14.3;12.2;5517.6;0.2;0.0;0.0;0.5;9.7;18.8
2018-06-06T00:00:00+00:00;06.06.2018 01:00;62.2;7.9;18.4;12.9;4297.6;0.2;0.0;0.0;0.4;8.5;18.1
2018-06-06T01:00:00+00:00;06.06.2018 02:00;67.4;7.3;19.0;13.2;4011.0;0.2;0.0;0.0;0.4;8.0;18.5
